set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value
10217-1,Diagon Alley,2011,246,2032,https://cdn.rebrickable.com/media/sets/10217-1.jpg,12,132.99,6,4.7,January 2013,430.08
10218-1,Pet Shop,2011,155,2034,https://cdn.rebrickable.com/media/sets/10218-1.jpg,4,119.99,4,4.7,November 2016,238.36
10219-1,Maersk Container Train,2011,673,1233,https://cdn.rebrickable.com/media/sets/10219-1.jpg,3,91.99,3,4.8,November 2012,422.55
10220-1,Volkswagen T1 Camper Van,2011,673,1332,https://cdn.rebrickable.com/media/sets/10220-1.jpg,0,79.99,0,4.6,December 2020,138.43
10221-1,Super Star Destroyer,2011,171,3152,https://cdn.rebrickable.com/media/sets/10221-1.jpg,5,349.99,3,4.8,June 2014,1122.20
10222-1,Winter Village Post Office,2011,227,822,https://cdn.rebrickable.com/media/sets/10222-1.jpg,7,49.99,7,4.7,December 2012,420.65
10223-1,Kingdoms Joust,2012,196,1575,https://cdn.rebrickable.com/media/sets/10223-1.jpg,9,99.99,6,4.2,December 2014,307.76
10224-1,Town Hall,2012,155,2772,https://cdn.rebrickable.com/media/sets/10224-1.jpg,8,149.99,8,4.9,October 2014,724.37
10225-1,R2-D2,2012,171,2127,https://cdn.rebrickable.com/media/sets/10225-1.jpg,1,149.99,0,4.5,November 2014,187.60
10226-1,Sopwith Camel,2012,673,879,https://cdn.rebrickable.com/media/sets/10226-1.jpg,0,79.99,0,4.8,October 2014,217.75
10227-1,B-wing Starfighter,2012,171,1487,https://cdn.rebrickable.com/media/sets/10227-1.jpg,0,169.99,0,4.9,November 2013,438.97
10228-1,Haunted House,2012,558,2064,https://cdn.rebrickable.com/media/sets/10228-1.jpg,6,149.99,2,4.6,January 2015,446.81
10229-1,Winter Village Cottage,2012,227,1492,https://cdn.rebrickable.com/media/sets/10229-1.jpg,8,89.99,5,4.5,December 2013,320.84
10230-1,Mini Modulars,2012,156,1356,https://cdn.rebrickable.com/media/sets/10230-1.jpg,0,59.99,0,4.7,December 2013,167.79
10231-1,Shuttle Expedition,2011,673,1230,https://cdn.rebrickable.com/media/sets/10231-1.jpg,3,81.99,2,4.9,April 2013,413.20
10232-1,Palace Cinema,2013,155,2194,https://cdn.rebrickable.com/media/sets/10232-1.jpg,7,119.99,7,4.9,November 2017,270.68
