set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
41196-1,The Elvenstar Tree Bat Attack,2018,600,883,https://cdn.rebrickable.com/media/sets/41196-1.jpg,0,69.99,0,4.7,November 2018,136.77,4.4
41230-1,Batgirl Batjet Chase,2017,617,206,https://cdn.rebrickable.com/media/sets/41230-1.jpg,0,19.99,0,4.3,November 2017,27.63,3.9
41231-1,Harley Quinn to the rescue,2016,617,217,https://cdn.rebrickable.com/media/sets/41231-1.jpg,0,24.99,0,4.1,March 2018,21.80,3.6
41232-1,Super Hero High School,2017,617,712,https://cdn.rebrickable.com/media/sets/41232-1.jpg,0,74.99,0,4.2,March 2018,74.11,3.7
41238-1,Lena Luthor Kryptomite Factory,2017,617,432,https://cdn.rebrickable.com/media/sets/41238-1.jpg,0,54.99,0,4.6,April 2018,75.70,4.1
41252-1,Poppy's Hot Air Balloon Adventure,2020,682,260,https://cdn.rebrickable.com/media/sets/41252-1.jpg,3,29.99,2,4.6,December 2021,26.78,3.7
41254-1,Volcano Rock City Concert,2020,682,397,https://cdn.rebrickable.com/media/sets/41254-1.jpg,3,34.99,3,4.6,October 2021,39.10,3.8
41255-1,Pop Village Celebration,2020,682,385,https://cdn.rebrickable.com/media/sets/41255-1.jpg,5,44.99,4,4.5,October 2021,46.37,3.7
41312-1,Heartlake Sports Center,2017,494,328,https://cdn.rebrickable.com/media/sets/41312-1.jpg,0,39.99,0,4.6,December 2017,44.72,4.2
41313-1,Heartlake Summer Pool,2017,494,589,https://cdn.rebrickable.com/media/sets/41313-1.jpg,0,54.99,0,4.5,July 2019,56.73,4.0
41314-1,Stephanie's House,2017,494,640,https://cdn.rebrickable.com/media/sets/41314-1.jpg,0,64.99,0,4.6,November 2019,129.13,4.0
41316-1,Andrea's Speedboat Transporter,2017,494,309,https://cdn.rebrickable.com/media/sets/41316-1.jpg,0,24.99,0,4.4,January 2019,34.82,3.8
41317-1,Sunshine Catamaran,2017,494,603,https://cdn.rebrickable.com/media/sets/41317-1.jpg,0,64.99,0,4.2,November 2018,68.88,4.3
