set_num,name,year,theme_id,num_parts,img_url,figs,retail,unique_figs,rating,retire_month,value,brickset_rating
10217-1,Diagon Alley,2011,246,2032,https://cdn.rebrickable.com/media/sets/10217-1.jpg,12,132.99,6,4.7,January 2013,430.08,4.3
10218-1,Pet Shop,2011,155,2034,https://cdn.rebrickable.com/media/sets/10218-1.jpg,4,119.99,4,4.7,November 2016,238.36,4.3
10219-1,Maersk Container Train,2011,673,1233,https://cdn.rebrickable.com/media/sets/10219-1.jpg,3,91.99,3,4.8,November 2012,422.55,4.6
10220-1,Volkswagen T1 Camper Van,2011,673,1332,https://cdn.rebrickable.com/media/sets/10220-1.jpg,0,79.99,0,4.6,December 2020,138.43,4.4
10221-1,Super Star Destroyer,2011,171,3152,https://cdn.rebrickable.com/media/sets/10221-1.jpg,5,349.99,3,4.8,June 2014,1122.20,4.4
10222-1,Winter Village Post Office,2011,227,822,https://cdn.rebrickable.com/media/sets/10222-1.jpg,7,49.99,7,4.7,December 2012,420.65,4.3
10223-1,Kingdoms Joust,2012,196,1575,https://cdn.rebrickable.com/media/sets/10223-1.jpg,9,99.99,6,4.2,December 2014,307.76,4.6
10224-1,Town Hall,2012,155,2772,https://cdn.rebrickable.com/media/sets/10224-1.jpg,8,149.99,8,4.9,October 2014,724.37,4.4
10225-1,R2-D2,2012,171,2127,https://cdn.rebrickable.com/media/sets/10225-1.jpg,1,149.99,0,4.5,November 2014,187.60,4.4
10226-1,Sopwith Camel,2012,673,879,https://cdn.rebrickable.com/media/sets/10226-1.jpg,0,79.99,0,4.8,October 2014,217.75,4.4
10227-1,B-wing Starfighter,2012,171,1487,https://cdn.rebrickable.com/media/sets/10227-1.jpg,0,169.99,0,4.9,November 2013,438.97,4.2
10228-1,Haunted House,2012,558,2064,https://cdn.rebrickable.com/media/sets/10228-1.jpg,6,149.99,2,4.6,January 2015,446.81,4.6
10229-1,Winter Village Cottage,2012,227,1492,https://cdn.rebrickable.com/media/sets/10229-1.jpg,8,89.99,5,4.5,December 2013,320.84,4.3
10230-1,Mini Modulars,2012,156,1356,https://cdn.rebrickable.com/media/sets/10230-1.jpg,0,59.99,0,4.7,December 2013,167.79,4.4
10231-1,Shuttle Expedition,2011,673,1230,https://cdn.rebrickable.com/media/sets/10231-1.jpg,3,81.99,2,4.9,April 2013,413.20,4.4
10232-1,Palace Cinema,2013,155,2194,https://cdn.rebrickable.com/media/sets/10232-1.jpg,7,119.99,7,4.9,November 2017,270.68,4.2
10233-1,Horizon Express,2013,673,1351,https://cdn.rebrickable.com/media/sets/10233-1.jpg,6,79.99,6,4.7,December 2014,237.35,4.4
10234-1,Sydney Opera House,2013,673,2989,https://cdn.rebrickable.com/media/sets/10234-1.jpg,0,249.99,0,4.8,November 2016,324.54,4.2
10235-1,Winter Village Market,2013,228,1261,https://cdn.rebrickable.com/media/sets/10235-1.jpg,9,79.99,9,4.8,December 2014,180.15,4.1
10236-1,Ewok Village,2013,171,1990,https://cdn.rebrickable.com/media/sets/10236-1.jpg,17,199.99,5,4.8,November 2016,509.95,4.5
10237-1,The Tower of Orthanc,2013,566,2362,https://cdn.rebrickable.com/media/sets/10237-1.jpg,5,169.99,2,4.9,October 2015,621.31,4.7
10240-1,Red Five X-Wing Starfighter,2013,171,1558,https://cdn.rebrickable.com/media/sets/10240-1.jpg,1,169.99,0,4.7,October 2015,236.78,4.4
10241-1,Maersk Line Triple-E,2014,673,1518,https://cdn.rebrickable.com/media/sets/10241-1.jpg,0,109.99,0,4.8,September 2015,260.64,4.2
10242-1,MINI Cooper,2014,673,1077,https://cdn.rebrickable.com/media/sets/10242-1.jpg,0,74.99,0,4.8,April 2019,179.26,4.4
10243-1,Parisian Restaurant,2014,155,2450,https://cdn.rebrickable.com/media/sets/10243-1.jpg,5,132.99,7,4.9,January 2020,276.61,4.6
10244-1,Fairground Mixer,2014,673,1745,https://cdn.rebrickable.com/media/sets/10244-1.jpg,12,119.99,13,4.7,November 2016,188.92,4.2
10245-1,Santa's Workshop,2014,228,884,https://cdn.rebrickable.com/media/sets/10245-1.jpg,6,59.99,5,4.8,November 2016,184.17,4.1
10246-1,Detective's Office,2015,155,2262,https://cdn.rebrickable.com/media/sets/10246-1.jpg,6,132.99,7,4.9,March 2018,362.03,4.5
10247-1,Ferris Wheel,2015,673,2464,https://cdn.rebrickable.com/media/sets/10247-1.jpg,10,149.99,11,4.8,December 2018,299.09,4.3
10248-1,Ferrari F40,2015,673,1158,https://cdn.rebrickable.com/media/sets/10248-1.jpg,0,69.99,0,4.5,November 2017,261.23,4.4
10249-1,Winter Toy Shop,2015,228,898,https://cdn.rebrickable.com/media/sets/10249-1.jpg,8,59.99,9,4.6,November 2017,170.77,4.1
10251-1,Brick Bank,2016,155,2384,https://cdn.rebrickable.com/media/sets/10251-1.jpg,6,119.99,6,5.0,November 2018,494.38,4.4
10252-1,Volkswagen Beetle,2016,673,1167,https://cdn.rebrickable.com/media/sets/10252-1.jpg,0,74.99,0,4.5,December 2020,109.23,4.3
10253-1,Big Ben,2016,673,4167,https://cdn.rebrickable.com/media/sets/10253-1.jpg,0,169.99,0,4.6,November 2018,331.23,4.2
10254-1,Winter Holiday Train,2016,228,735,https://cdn.rebrickable.com/media/sets/10254-1.jpg,5,69.99,5,4.9,December 2019,189.61,4.1
10256-1,Taj Mahal,2017,673,5923,https://cdn.rebrickable.com/media/sets/10256-1.jpg,0,299.99,0,4.9,November 2020,350.86,4.0
10257-1,Carousel,2017,673,2670,https://cdn.rebrickable.com/media/sets/10257-1.jpg,7,159.99,8,4.5,December 2019,329.49,4.2
10258-1,London Bus,2017,673,1686,https://cdn.rebrickable.com/media/sets/10258-1.jpg,0,109.99,0,4.8,December 2021,115.32,4.2
10259-1,Winter Village Station,2017,228,902,https://cdn.rebrickable.com/media/sets/10259-1.jpg,5,74.99,5,4.8,November 2018,184.28,3.9
10260-1,Downtown Diner,2018,155,2480,https://cdn.rebrickable.com/media/sets/10260-1.jpg,6,129.99,6,4.9,November 2020,264.07,4.3
10261-1,Roller Coaster,2018,673,4124,https://cdn.rebrickable.com/media/sets/10261-1.jpg,11,299.99,11,4.9,November 2021,372.16,4.3
10262-1,James Bond Aston Martin DB5,2018,673,1297,https://cdn.rebrickable.com/media/sets/10262-1.jpg,0,129.99,0,4.9,January 2022,160.77,4.3
10263-1,Winter Village Fire Station,2018,228,1166,https://cdn.rebrickable.com/media/sets/10263-1.jpg,8,84.99,7,4.8,December 2020,125.70,3.9
10264-1,Corner Garage,2019,155,2569,https://cdn.rebrickable.com/media/sets/10264-1.jpg,6,159.99,6,4.9,December 2021,225.32,4.1
10265-1,Ford Mustang,2019,673,1471,https://cdn.rebrickable.com/media/sets/10265-1.jpg,0,149.99,0,4.9,January 2024,146.60,4.5
10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087,https://cdn.rebrickable.com/media/sets/10266-1.jpg,2,84.99,2,4.9,December 2023,100.84,4.4
10267-1,Gingerbread House,2019,228,1477,https://cdn.rebrickable.com/media/sets/10267-1.jpg,2,84.99,2,4.8,October 2021,113.59,4.2
10268-1,Vestas Wind Turbine,2018,673,834,https://cdn.rebrickable.com/media/sets/10268-1.jpg,3,159.99,3,4.9,November 2020,226.63,4.0
10269-1,Harley-Davidson Fat Boy,2019,673,1023,https://cdn.rebrickable.com/media/sets/10269-1.jpg,0,84.99,0,4.9,November 2021,97.70,4.2
10270-1,Bookshop,2020,155,2504,https://cdn.rebrickable.com/media/sets/10270-1.jpg,5,169.99,5,4.8,December 2023,188.46,4.2
10271-1,Fiat 500,2020,673,960,https://cdn.rebrickable.com/media/sets/10271-1.jpg,0,74.99,0,4.8,November 2022,83.61,4.2
10272-1,Old Trafford - Manchester United,2020,673,3898,https://cdn.rebrickable.com/media/sets/10272-1.jpg,0,249.99,0,4.8,November 2022,332.92,4.3
10273-1,Haunted House,2020,721,3232,https://cdn.rebrickable.com/media/sets/10273-1.jpg,10,259.99,8,4.8,November 2023,287.02,4.4
10275-1,Elf Club House,2020,227,1197,https://cdn.rebrickable.com/media/sets/10275-1.jpg,4,84.99,4,4.8,November 2022,98.81,4.1
10276-1,Colosseum,2020,721,9036,https://cdn.rebrickable.com/media/sets/10276-1.jpg,0,474.99,0,4.8,November 2023,665.62,4.3
10277-1,Crocodile Locomotive,2020,721,1279,https://cdn.rebrickable.com/media/sets/10277-1.jpg,2,89.99,2,4.8,November 2021,118.00,4.3
10403-1,World Fun,2018,621,295,https://cdn.rebrickable.com/media/sets/10403-1.jpg,2,14.99,2,4.5,January 2019,21.35,3.7
10404-1,Ocean's Bottom,2018,621,579,https://cdn.rebrickable.com/media/sets/10404-1.jpg,2,24.99,2,4.5,December 2018,37.81,4.1
10405-1,Mission to Mars,2018,621,871,https://cdn.rebrickable.com/media/sets/10405-1.jpg,3,44.99,3,4.5,December 2018,81.54,4.2
10654-1,XL Creative Brick Box,2016,621,1600,https://cdn.rebrickable.com/media/sets/10654-1.jpg,0,49.99,0,4.3,December 2016,112.37,4.0
10662-1,Creative Bucket,2013,35,607,https://cdn.rebrickable.com/media/sets/10662-1.jpg,0,19.99,0,4.5,November 2014,66.14,3.8
10664-1,Creative Tower,2013,35,1600,https://cdn.rebrickable.com/media/sets/10664-1.jpg,0,49.99,0,4.5,January 2015,79.68,4.0
10676-1,Knights' Castle,2014,591,480,https://cdn.rebrickable.com/media/sets/10676-1.jpg,4,34.99,4,4.5,November 2015,120.23,3.8
10682-1,Creative Suitcase,2014,35,1017,https://cdn.rebrickable.com/media/sets/10682-1.jpg,0,34.99,0,4.4,January 2015,67.18,4.0
10686-1,Family House,2015,591,226,https://cdn.rebrickable.com/media/sets/10686-1.jpg,3,24.99,3,4.3,December 2016,42.10,3.7
10692-1,Creative Bricks,2015,621,221,https://cdn.rebrickable.com/media/sets/10692-1.jpg,0,12.99,0,4.2,January 2023,17.06,3.6
10693-1,Creative Supplement,2015,621,303,https://cdn.rebrickable.com/media/sets/10693-1.jpg,0,17.99,0,4.2,January 2019,20.56,3.7
10694-1,Creative Supplement Bright,2015,621,303,https://cdn.rebrickable.com/media/sets/10694-1.jpg,0,17.99,0,4.3,December 2017,31.04,3.6
10695-1,Creative Building Box,2015,621,580,https://cdn.rebrickable.com/media/sets/10695-1.jpg,0,19.99,0,4.7,December 2016,112.04,3.4
10697-1,XXXL Box,2015,621,1500,https://cdn.rebrickable.com/media/sets/10697-1.jpg,0,49.99,0,4.5,December 2016,140.79,3.8
10702-1,Creative Building Set,2016,621,583,https://cdn.rebrickable.com/media/sets/10702-1.jpg,0,19.99,0,4.6,November 2017,29.73,3.7
10703-1,Creative Builder Box,2017,621,502,https://cdn.rebrickable.com/media/sets/10703-1.jpg,0,19.99,0,4.4,December 2018,51.70,3.9
10704-1,Creative Box,2017,621,900,https://cdn.rebrickable.com/media/sets/10704-1.jpg,0,29.99,0,4.4,December 2018,49.14,3.6
10712-1,Bricks and Gears,2018,621,244,https://cdn.rebrickable.com/media/sets/10712-1.jpg,0,17.99,0,4.6,January 2020,21.44,3.9
10717-1,Bricks Bricks Bricks,2018,621,1500,https://cdn.rebrickable.com/media/sets/10717-1.jpg,0,49.99,0,4.6,March 2022,69.62,4.2
10745-1,Florida 500 Race Final,2017,615,266,https://cdn.rebrickable.com/media/sets/10745-1.jpg,5,44.99,4,4.7,December 2018,104.71,3.9
10770-1,Buzz & Woody's Carnival Mania!,2019,275,230,https://cdn.rebrickable.com/media/sets/10770-1.jpg,5,44.99,3,4.5,February 2021,38.18,3.6
10937-1,Batman: Arkham Asylum Breakout,2012,697,1621,https://cdn.rebrickable.com/media/sets/10937-1.jpg,8,129.99,5,4.5,December 2014,201.33,4.4
11004-1,Windows of Creativity,2019,621,450,https://cdn.rebrickable.com/media/sets/11004-1.jpg,0,24.99,0,4.7,January 2021,54.83,3.6
11005-1,Creative Fun,2019,621,900,https://cdn.rebrickable.com/media/sets/11005-1.jpg,0,29.99,0,4.3,November 2020,39.06,3.9
11008-1,Bricks and Houses,2020,621,270,https://cdn.rebrickable.com/media/sets/11008-1.jpg,0,17.99,0,4.6,January 2023,18.94,3.8
11009-1,Bricks and Lights,2020,621,441,https://cdn.rebrickable.com/media/sets/11009-1.jpg,0,24.99,0,4.6,March 2022,25.84,3.7
11011-1,Bricks and Animals,2020,621,1500,https://cdn.rebrickable.com/media/sets/11011-1.jpg,0,54.99,0,4.6,January 2023,47.42,4.0
11717-1,Bricks Bricks Plates,2020,621,1504,https://cdn.rebrickable.com/media/sets/11717-1.jpg,0,64.99,0,4.6,January 2023,72.02,4.1
17101-1,Creative Toolbox,2017,301,847,https://cdn.rebrickable.com/media/sets/17101-1.jpg,0,149.99,0,4.6,December 2022,196.38,4.1
21008-1,Burj Khalifa,2011,252,208,https://cdn.rebrickable.com/media/sets/21008-1.jpg,0,22.99,0,4.7,December 2013,111.52,3.2
21009-1,Farnsworth House,2011,252,546,https://cdn.rebrickable.com/media/sets/21009-1.jpg,0,54.99,0,4.8,April 2014,281.24,4.1
21010-1,Robie House,2011,252,2276,https://cdn.rebrickable.com/media/sets/21010-1.jpg,0,169.99,0,4.9,December 2013,524.17,4.5
21011-1,Brandenburg Gate,2011,252,363,https://cdn.rebrickable.com/media/sets/21011-1.jpg,0,34.99,0,4.8,December 2015,103.39,3.8
21012-1,Sydney Opera House,2012,252,270,https://cdn.rebrickable.com/media/sets/21012-1.jpg,0,34.99,0,4.6,December 2014,140.61,3.6
21013-1,Big Ben,2012,252,346,https://cdn.rebrickable.com/media/sets/21013-1.jpg,0,24.99,0,4.5,November 2016,89.92,3.8
21014-1,Villa Savoye,2012,252,660,https://cdn.rebrickable.com/media/sets/21014-1.jpg,0,59.99,0,4.8,December 2015,234.46,4.1
21015-1,The Leaning Tower of Pisa,2013,252,345,https://cdn.rebrickable.com/media/sets/21015-1.jpg,0,29.99,0,4.8,December 2015,141.02,3.8
21016-1,Sungnyemun,2012,252,325,https://cdn.rebrickable.com/media/sets/21016-1.jpg,0,29.99,0,4.7,February 2013,314.51,4.2
21017-1,Imperial Hotel,2013,252,1188,https://cdn.rebrickable.com/media/sets/21017-1.jpg,0,99.99,0,4.6,December 2015,169.34,4.3
21018-1,United Nations Headquarters,2013,252,597,https://cdn.rebrickable.com/media/sets/21018-1.jpg,0,49.99,0,4.6,December 2015,105.05,4.2
21019-1,The Eiffel Tower,2014,252,320,https://cdn.rebrickable.com/media/sets/21019-1.jpg,0,29.99,0,4.9,December 2018,87.86,3.9
21020-1,Trevi Fountain,2014,252,731,https://cdn.rebrickable.com/media/sets/21020-1.jpg,0,39.99,0,4.8,November 2016,185.59,4.2
21022-1,Lincoln Memorial,2015,252,274,https://cdn.rebrickable.com/media/sets/21022-1.jpg,0,24.99,0,4.8,December 2016,126.87,3.8
21023-1,Flatiron Building,2015,252,471,https://cdn.rebrickable.com/media/sets/21023-1.jpg,0,34.99,0,4.4,December 2016,78.96,4.0
21024-1,Louvre,2015,252,695,https://cdn.rebrickable.com/media/sets/21024-1.jpg,0,44.99,0,4.5,November 2017,129.15,4.0
21026-1,Venice,2016,253,212,https://cdn.rebrickable.com/media/sets/21026-1.jpg,0,24.99,0,4.9,November 2017,191.04,3.8
21027-1,Berlin,2016,253,289,https://cdn.rebrickable.com/media/sets/21027-1.jpg,0,24.99,0,4.8,November 2017,220.31,3.9
21029-1,Buckingham Palace,2016,252,780,https://cdn.rebrickable.com/media/sets/21029-1.jpg,0,39.99,0,4.8,November 2018,98.31,4.1
21030-1,United States Capitol Building,2016,252,1032,https://cdn.rebrickable.com/media/sets/21030-1.jpg,0,84.99,0,4.8,November 2019,144.82,4.3
21031-1,Burj Khalifa,2016,252,333,https://cdn.rebrickable.com/media/sets/21031-1.jpg,0,39.99,0,4.5,December 2017,86.07,3.9
21032-1,Sydney,2017,253,361,https://cdn.rebrickable.com/media/sets/21032-1.jpg,0,29.99,0,5.0,November 2018,154.08,3.8
21033-1,Chicago,2017,253,444,https://cdn.rebrickable.com/media/sets/21033-1.jpg,0,44.99,0,4.9,December 2018,183.75,4.1
21035-1,Solomon R. Guggenheim Museum,2017,252,744,https://cdn.rebrickable.com/media/sets/21035-1.jpg,0,64.99,0,4.8,December 2018,123.98,4.2
21036-1,Arc de Triomphe,2017,252,386,https://cdn.rebrickable.com/media/sets/21036-1.jpg,0,29.99,0,4.9,November 2018,79.74,4.0
21037-1,LEGO House,2017,252,774,https://cdn.rebrickable.com/media/sets/21037-1.jpg,0,44.99,0,4.8,May 2020,78.22,4.3
21039-1,Shanghai,2018,253,597,https://cdn.rebrickable.com/media/sets/21039-1.jpg,0,54.99,0,4.8,January 2021,85.30,4.2
21041-1,Great Wall of China,2018,252,550,https://cdn.rebrickable.com/media/sets/21041-1.jpg,0,44.99,0,4.9,November 2019,85.94,4.2
21043-1,San Francisco,2019,253,565,https://cdn.rebrickable.com/media/sets/21043-1.jpg,0,44.99,0,4.7,November 2021,58.55,4.2
21045-1,Trafalgar Square,2019,252,1197,https://cdn.rebrickable.com/media/sets/21045-1.jpg,0,79.99,0,4.7,January 2022,73.49,4.3
21046-1,Empire State Building,2019,252,1767,https://cdn.rebrickable.com/media/sets/21046-1.jpg,0,89.99,0,4.9,January 2022,126.59,4.4
21047-1,Las Vegas,2018,253,501,https://cdn.rebrickable.com/media/sets/21047-1.jpg,0,34.99,0,4.9,November 2020,70.79,4.0
21050-1,Architecture Studio,2013,252,1211,https://cdn.rebrickable.com/media/sets/21050-1.jpg,0,149.99,0,4.9,December 2017,327.34,4.2
21051-1,Tokyo,2020,253,547,https://cdn.rebrickable.com/media/sets/21051-1.jpg,0,54.99,0,4.8,November 2022,62.41,4.1
21052-1,Dubai,2020,253,740,https://cdn.rebrickable.com/media/sets/21052-1.jpg,0,54.99,0,4.8,January 2022,64.53,4.0
21101-1,Hayabusa,2012,576,369,https://cdn.rebrickable.com/media/sets/21101-1.jpg,1,44.99,1,4.8,November 2013,245.06,4.1
21102-1,Micro World,2012,576,479,https://cdn.rebrickable.com/media/sets/21102-1.jpg,2,34.99,2,4.5,January 2015,51.04,3.9
21103-1,The DeLorean Time Machine,2013,576,401,https://cdn.rebrickable.com/media/sets/21103-1.jpg,2,34.99,1,4.8,December 2014,109.40,4.0
21104-1,NASA Mars Science Laboratory Curiosity Rover,2014,576,295,https://cdn.rebrickable.com/media/sets/21104-1.jpg,0,24.99,0,5.0,April 2014,359.86,4.2
21105-1,Micro World - The Village,2013,577,466,https://cdn.rebrickable.com/media/sets/21105-1.jpg,3,29.99,3,4.8,November 2014,87.52,3.6
21106-1,Micro World - The Nether,2013,577,470,https://cdn.rebrickable.com/media/sets/21106-1.jpg,3,29.99,2,4.5,January 2015,71.16,3.5
21107-1,Micro World - The End,2014,577,440,https://cdn.rebrickable.com/media/sets/21107-1.jpg,4,29.99,1,4.7,January 2015,60.06,3.2
21108-1,Ghostbusters Ecto-1,2014,576,508,https://cdn.rebrickable.com/media/sets/21108-1.jpg,4,44.99,8,4.7,November 2016,104.07,4.4
21109-1,Exo-Suit,2014,576,321,https://cdn.rebrickable.com/media/sets/21109-1.jpg,2,29.99,2,4.7,August 2015,57.54,4.4
21113-1,The Cave,2014,577,249,https://cdn.rebrickable.com/media/sets/21113-1.jpg,2,19.99,0,4.7,November 2017,46.07,3.7
21114-1,The Farm,2014,577,262,https://cdn.rebrickable.com/media/sets/21114-1.jpg,2,24.99,0,4.2,December 2016,48.80,3.6
21115-1,The First Night,2014,577,408,https://cdn.rebrickable.com/media/sets/21115-1.jpg,2,39.99,0,4.8,November 2016,113.86,4.0
21116-1,Crafting Box,2014,577,518,https://cdn.rebrickable.com/media/sets/21116-1.jpg,2,49.99,0,4.5,November 2016,100.72,3.8
21117-1,The Ender Dragon,2014,577,636,https://cdn.rebrickable.com/media/sets/21117-1.jpg,4,59.99,1,4.8,December 2016,215.41,3.7
21118-1,The Mine,2014,577,922,https://cdn.rebrickable.com/media/sets/21118-1.jpg,4,89.99,0,4.8,December 2015,266.78,4.0
21119-1,The Dungeon,2015,577,219,https://cdn.rebrickable.com/media/sets/21119-1.jpg,3,19.99,0,4.5,November 2017,38.01,3.5
21120-1,The Snow Hideout,2015,577,327,https://cdn.rebrickable.com/media/sets/21120-1.jpg,3,39.99,1,4.4,November 2017,59.51,3.5
21121-1,The Desert Outpost,2015,577,519,https://cdn.rebrickable.com/media/sets/21121-1.jpg,4,59.99,1,4.3,November 2017,91.43,3.6
21122-1,The Nether Fortress,2015,577,571,https://cdn.rebrickable.com/media/sets/21122-1.jpg,4,69.99,2,4.7,November 2017,119.05,3.6
21123-1,The Iron Golem,2016,577,208,https://cdn.rebrickable.com/media/sets/21123-1.jpg,2,19.99,0,4.7,December 2018,37.49,3.6
21124-1,The End Portal,2016,577,559,https://cdn.rebrickable.com/media/sets/21124-1.jpg,3,49.99,1,4.8,December 2017,186.41,3.8
21125-1,The Jungle Tree House,2016,577,707,https://cdn.rebrickable.com/media/sets/21125-1.jpg,4,74.99,1,4.8,November 2017,184.88,4.2
21126-1,The Wither,2016,577,318,https://cdn.rebrickable.com/media/sets/21126-1.jpg,3,29.99,0,4.8,November 2017,143.89,3.4
21127-1,The Fortress,2016,577,984,https://cdn.rebrickable.com/media/sets/21127-1.jpg,0,89.99,0,4.8,December 2017,272.98,3.9
21128-1,The Village,2016,577,1600,https://cdn.rebrickable.com/media/sets/21128-1.jpg,9,169.99,4,4.9,December 2017,532.36,4.2
21129-1,The Mushroom Island,2017,577,247,https://cdn.rebrickable.com/media/sets/21129-1.jpg,2,19.99,0,4.8,December 2018,55.99,3.7
21130-1,The Nether Railway,2017,577,387,https://cdn.rebrickable.com/media/sets/21130-1.jpg,2,39.99,1,4.8,February 2019,73.06,3.9
21131-1,The Ice Spikes,2017,577,454,https://cdn.rebrickable.com/media/sets/21131-1.jpg,2,44.99,1,4.7,January 2018,121.99,4.0
21132-1,The Jungle Temple,2017,577,598,https://cdn.rebrickable.com/media/sets/21132-1.jpg,3,54.99,1,4.7,November 2017,220.51,3.8
21133-1,The Witch Hut,2017,577,502,https://cdn.rebrickable.com/media/sets/21133-1.jpg,2,64.99,2,4.7,November 2017,210.08,4.0
21134-1,The Waterfall Base,2017,577,729,https://cdn.rebrickable.com/media/sets/21134-1.jpg,4,74.99,2,4.7,November 2018,113.70,4.0
21135-1,The Crafting Box 2.0,2017,577,717,https://cdn.rebrickable.com/media/sets/21135-1.jpg,2,79.99,1,4.8,December 2019,98.82,3.7
21136-1,The Ocean Monument,2017,577,1122,https://cdn.rebrickable.com/media/sets/21136-1.jpg,2,119.99,1,4.8,March 2019,249.88,3.9
21137-1,The Mountain Cave,2017,577,2863,https://cdn.rebrickable.com/media/sets/21137-1.jpg,6,259.99,4,5.0,December 2018,1739.57,4.5
21141-1,The Zombie Cave,2018,577,241,https://cdn.rebrickable.com/media/sets/21141-1.jpg,3,19.99,1,4.7,November 2020,25.17,3.8
21142-1,The Polar Igloo,2018,577,278,https://cdn.rebrickable.com/media/sets/21142-1.jpg,2,39.99,2,4.7,January 2020,64.38,3.9
21143-1,The Nether Portal,2018,577,470,https://cdn.rebrickable.com/media/sets/21143-1.jpg,3,49.99,2,4.7,October 2020,93.32,4.1
21144-1,The Farm Cottage,2018,577,549,https://cdn.rebrickable.com/media/sets/21144-1.jpg,3,64.99,0,4.8,November 2018,178.19,4.2
21146-1,The Skeleton Attack,2018,577,457,https://cdn.rebrickable.com/media/sets/21146-1.jpg,4,49.99,0,4.8,December 2018,100.84,4.3
21147-1,The Bedrock Adventures,2018,577,644,https://cdn.rebrickable.com/media/sets/21147-1.jpg,4,79.99,0,4.8,June 2019,111.24,4.0
21151-1,The End Battle,2019,577,222,https://cdn.rebrickable.com/media/sets/21151-1.jpg,2,19.99,2,4.7,February 2022,31.04,3.8
21152-1,The Pirate Ship Adventure,2019,577,386,https://cdn.rebrickable.com/media/sets/21152-1.jpg,2,49.99,2,4.6,November 2021,40.85,4.2
21153-1,The Wool Farm,2019,577,260,https://cdn.rebrickable.com/media/sets/21153-1.jpg,1,19.99,0,4.6,October 2021,19.99,3.8
21154-1,The Blaze Bridge,2019,577,372,https://cdn.rebrickable.com/media/sets/21154-1.jpg,4,39.99,2,4.7,March 2022,31.21,4.2
21155-1,The Creeper Mine,2019,577,834,https://cdn.rebrickable.com/media/sets/21155-1.jpg,4,79.99,2,4.7,July 2021,90.44,4.4
21158-1,The Panda Nursery,2020,577,204,https://cdn.rebrickable.com/media/sets/21158-1.jpg,1,19.99,0,4.7,December 2022,19.79,3.6
21159-1,The Pillager Outpost,2020,577,303,https://cdn.rebrickable.com/media/sets/21159-1.jpg,4,29.99,2,4.6,November 2021,35.23,3.7
21160-1,The Illager Raid,2020,577,562,https://cdn.rebrickable.com/media/sets/21160-1.jpg,5,64.99,4,4.7,December 2022,56.21,4.1
21161-1,The Crafting Box 3.0,2020,577,564,https://cdn.rebrickable.com/media/sets/21161-1.jpg,4,74.99,0,4.8,January 2023,70.48,3.9
21163-1,The Redstone Battle,2020,577,511,https://cdn.rebrickable.com/media/sets/21163-1.jpg,4,44.99,4,4.6,February 2022,81.21,4.2
21165-1,The Bee Farm,2020,577,238,https://cdn.rebrickable.com/media/sets/21165-1.jpg,2,17.99,2,4.7,December 2022,20.09,4.2
21167-1,The Trading Post,2020,577,201,https://cdn.rebrickable.com/media/sets/21167-1.jpg,3,19.99,1,4.7,December 2022,19.26,3.8
21301-1,Birds,2015,576,580,https://cdn.rebrickable.com/media/sets/21301-1.jpg,0,39.99,0,4.8,January 2016,117.97,4.4
21302-1,The Big Bang Theory,2015,576,498,https://cdn.rebrickable.com/media/sets/21302-1.jpg,7,49.99,7,4.9,December 2016,175.58,4.2
21304-1,Doctor Who,2015,576,623,https://cdn.rebrickable.com/media/sets/21304-1.jpg,6,49.99,5,4.9,November 2016,159.02,4.5
21305-1,Maze,2016,576,769,https://cdn.rebrickable.com/media/sets/21305-1.jpg,0,59.99,0,4.7,November 2016,159.67,4.2
21306-1,The Beatles Yellow Submarine,2016,576,553,https://cdn.rebrickable.com/media/sets/21306-1.jpg,5,49.99,5,5.0,December 2017,172.37,4.4
21308-1,Adventure Time,2016,576,496,https://cdn.rebrickable.com/media/sets/21308-1.jpg,0,44.99,0,4.6,January 2019,53.53,3.6
21309-1,NASA Apollo Saturn V,2017,576,1969,https://cdn.rebrickable.com/media/sets/21309-1.jpg,0,109.99,0,4.7,December 2019,138.50,4.7
21310-1,Old Fishing Store,2017,576,2057,https://cdn.rebrickable.com/media/sets/21310-1.jpg,4,139.99,4,5.0,October 2018,374.71,4.6
21311-1,Voltron,2018,576,2321,https://cdn.rebrickable.com/media/sets/21311-1.jpg,0,159.99,0,5.0,December 2019,314.06,4.5
21312-1,Women of NASA,2017,576,231,https://cdn.rebrickable.com/media/sets/21312-1.jpg,4,19.99,4,4.7,June 2019,34.58,4.1
21313-1,Ship in a Bottle,2018,576,962,https://cdn.rebrickable.com/media/sets/21313-1.jpg,0,69.99,0,4.8,December 2019,88.19,4.3
21314-1,TRON: Legacy,2018,576,230,https://cdn.rebrickable.com/media/sets/21314-1.jpg,3,29.99,3,4.8,November 2019,71.03,4.2
21315-1,Pop-Up Book,2018,576,859,https://cdn.rebrickable.com/media/sets/21315-1.jpg,5,59.99,5,4.8,September 2020,58.90,4.2
21316-1,The Flintstones,2019,576,748,https://cdn.rebrickable.com/media/sets/21316-1.jpg,4,54.99,4,5.0,January 2021,69.70,4.1
21317-1,Steamboat Willie,2019,576,751,https://cdn.rebrickable.com/media/sets/21317-1.jpg,2,79.99,2,5.0,November 2020,116.16,4.3
21319-1,Central Perk,2019,576,1070,https://cdn.rebrickable.com/media/sets/21319-1.jpg,7,64.99,7,4.8,November 2022,60.81,4.4
