,id,theme,name,year of release,# of pieces,# of minifigures,Secondary market prices of new sets in 2015,Secondary market prices of used sets in 2015,Primary market price at release,age,Size group (1 - Biggest; 4 - Smallest),Profit Margin,Full Retirement Date,Years Since Retirement,Yearly Average Returns
328,30253,Legends of China,Leonidas' Jungle Dragster,2013,30,1.0,7.72,2.33,3.99,2,4,1.9348370927318295,,,
329,30254,Legends of China,Razcal’s Double-Crosser,2013,36,1.0,7.61,4.06,3.97,2,4,1.9168765743073048,,,
330,30260,Lone Ranger,Lone Ranger’s Pump Car,2013,24,1.0,12.47,10.67,3.99,2,4,3.12531328320802,,,
331,30261,Lone Ranger,Tonto’s Campfire,2013,20,1.0,6.98,7.5,4.99,2,4,1.3987975951903808,,,
332,30264,Legends of China,Frax’s Phoenix Flyer,2014,0,1.0,6.0,0.0,3.99,1,4,1.5037593984962405,,,
333,30265,Legends of China,Worriz Fire Bike,2014,0,1.0,4.46,1.95,4.69,1,4,0.950959488272921,,,
334,30270,Teenage mutant ninja turtle,Kraang Laser Turret,2013,36,1.0,4.83,2.5,3.99,2,4,1.2105263157894737,,,
335,30271,Teenage mutant ninja turtle,Mikey’s Mini-Shellraiser,2014,47,1.0,7.49,22.13,4.99,1,4,1.501002004008016,,,
336,30280,The Lego movie,The Piece of Resistance,2014,33,1.0,11.83,5.5,0.0,1,4,,,,
337,30281,The Lego movie,Micro Manager Battle,2014,27,1.0,10.7,0.0,0.0,1,4,,,,
338,30282,The Lego movie,Super Secret Police Enforcer,2014,40,1.0,7.58,6.33,4.99,1,4,1.5190380761523046,,,
339,30300,Batman,The Batman Tumbler,2014,57,0.0,8.56,3.6,3.99,1,4,2.145363408521303,,,
340,30301,Batman,Batwing,2014,45,0.0,6.38,0.0,4.99,1,4,1.2785571142284569,,,
341,30302,Super Heroes,Spider-Man,2014,45,1.0,11.0,0.0,3.99,1,4,2.756892230576441,,,
342,3050,Castle,Shanghai Surprise,1999,104,3.0,40.07,22.87,11.99,16,4,3.341951626355296,,,
343,3051,Castle,Blaze Attack,1999,145,2.0,27.4,22.41,14.99,16,4,1.8278852568378918,,,
344,3052,Castle,Ninja Fire Fortress,1999,169,3.0,85.33,32.6,29.99,16,4,2.8452817605868623,,,
345,3053,Castle,Emperor’s Stronghold,1999,331,4.0,111.4,65.75,39.99,16,4,2.7856964241060265,,,
346,3057,Technic,Master Builders - Create ‘N’ Race,2000,105,0.0,21.62,15.0,19.99,15,4,1.0815407703851927,,,
347,3061,Friends,City Park Cafe,2012,222,2.0,48.98,28.22,34.99,3,4,1.3998285224349813,2013-12-02T00:00:00Z,2.0821917808219177,1.1753152279947214
348,3063,Friends,Heartlake Flying Club,2012,195,1.0,33.94,4.71,19.99,3,4,1.6978489244622312,2013-12-16T00:00:00Z,2.043835616438356,1.2956393114957012
349,3065,Friends,Olivia’s Tree House,2012,191,1.0,48.24,27.13,19.99,3,4,2.413206603301651,2013-11-05T00:00:00Z,2.1561643835616437,1.5046731742409143
350,31000,Creator,Mini Speeder,2013,65,0.0,13.26,5.75,6.99,2,4,1.8969957081545064,2013-12-02T00:00:00Z,2.0821917808219177,1.3600191467845983
351,31001,Creator,Mini Skyflyer,2013,62,0.0,13.23,7.63,6.99,2,4,1.8927038626609443,2013-12-02T00:00:00Z,2.0821917808219177,1.358540523362689
352,31002,Creator,Super Racer,2013,121,0.0,19.9,5.68,14.99,2,4,1.3275517011340894,2014-12-30T00:00:00Z,1.0054794520547945,
353,31003,Creator,Red Rotors,2013,145,0.0,23.9,8.45,14.99,2,4,1.5943962641761174,2014-12-30T00:00:00Z,1.0054794520547945,
354,31004,Creator,Fierce Flyer,2013,166,0.0,19.94,8.88,14.99,2,4,1.3302201467645098,2014-12-14T00:00:00Z,1.0493150684931507,
355,31005,Creator,Construction Hauler,2013,256,0.0,24.14,18.2,17.99,2,4,1.3418565869927739,2015-01-10T00:00:00Z,0.9753424657534246,
356,31006,Creator,Highway Speedster,2013,286,0.0,29.27,14.2,24.99,2,4,1.1712685074029612,2015-01-09T00:00:00Z,0.9780821917808219,
357,31007,Creator,Power Mech,2013,223,0.0,23.93,15.73,19.99,2,4,1.1970985492746373,2015-02-27T00:00:00Z,0.8438356164383561,
358,31008,Creator,Thunder Wings,2013,235,0.0,29.72,15.6,19.99,2,4,1.486743371685843,2015-01-10T00:00:00Z,0.9753424657534246,
359,31009,Creator,Small Cottage,2013,271,1.0,30.38,20.29,24.99,2,4,1.215686274509804,2014-12-09T00:00:00Z,1.063013698630137,
360,31010,Creator,Tree House,2013,356,1.0,34.72,35.38,29.99,2,3,1.1577192397465823,2015-10-14T00:00:00Z,0.21643835616438356,
361,31011,Creator,Aviation Adventures,2013,618,0.0,50.06,48.33,59.99,2,3,0.8344724120686782,2014-11-24T00:00:00Z,1.104109589041096,
362,31012,Creator,Family House,2013,756,2.0,72.45,54.58,69.99,2,2,1.035147878268324,2014-10-04T00:00:00Z,1.2438356164383562,
363,31013,Creator,Red Thunder,2014,66,0.0,11.93,0.0,4.99,1,4,2.3907815631262523,2014-12-08T00:00:00Z,1.0657534246575342,
364,31014,Creator,Power Digger,2014,64,0.0,8.67,0.0,4.99,1,4,1.7374749498997994,2015-10-29T00:00:00Z,0.17534246575342466,
365,31015,Creator,Emerald Express,2014,56,0.0,9.83,2.27,4.99,1,4,1.969939879759519,2015-11-10T00:00:00Z,0.14246575342465753,
366,31017,Creator,Sunset Speeder,2014,119,0.0,15.59,8.37,12.99,1,4,1.2001539645881447,2015-10-24T00:00:00Z,0.18904109589041096,
367,31018,Creator,Highway Cruiser,2014,129,0.0,18.04,0.0,12.99,1,4,1.3887605850654348,2015-10-31T00:00:00Z,0.16986301369863013,
368,31019,Creator,Forest Animals,2014,272,0.0,31.39,0.0,19.99,1,4,1.5702851425712858,2015-11-21T00:00:00Z,0.11232876712328767,
369,31020,Creator,Twinblade Adventures,2014,216,0.0,23.55,0.0,17.99,1,4,1.3090605892162315,2015-11-10T00:00:00Z,0.14246575342465753,
370,31021,Creator,Furry Creatures,2014,285,0.0,29.27,0.0,19.99,1,4,1.4642321160580292,2015-11-27T00:00:00Z,0.0958904109589041,
371,31022,Creator,Turbo Quad,2014,186,0.0,27.0,0.0,24.99,1,4,1.0804321728691477,2015-11-27T00:00:00Z,0.0958904109589041,
372,31023,Creator,Yellow Racers,2014,328,0.0,28.59,15.0,29.99,1,4,0.9533177725908637,2015-10-31T00:00:00Z,0.16986301369863013,
373,31024,Creator,Roaring Power,2014,374,0.0,26.86,17.0,29.99,1,3,0.8956318772924309,2015-11-27T00:00:00Z,0.0958904109589041,
374,31025,Creator,Mountain Hut,2014,550,1.0,42.82,26.57,39.99,1,3,1.0707676919229807,2015-11-27T00:00:00Z,0.0958904109589041,
375,31026,Creator,Bike Shop & Cafe,2014,1023,3.0,75.13,59.38,89.99,1,2,0.8348705411712413,2015-11-03T00:00:00Z,0.16164383561643836,
376,3177,City,Small Car,2010,43,1.0,18.86,9.67,4.99,5,4,3.7795591182364725,2012-11-17T00:00:00Z,3.1232876712328768,1.5306731745894504
377,3178,City,Seaplane,2010,102,1.0,22.53,12.33,10.99,5,4,2.0500454959053687,2012-11-23T00:00:00Z,3.106849315068493,1.2599321499690872
378,3179,City,Repair Truck,2010,118,1.0,25.47,14.13,12.99,5,4,1.9607390300230945,2011-12-26T00:00:00Z,4.019178082191781,1.1823773939008495
379,3180,City,Tank Truck,2010,222,1.0,34.31,22.73,19.99,5,4,1.716358179089545,2011-12-18T00:00:00Z,4.041095890410959,1.1430244495754793
380,3181,City,Passenger Plane,2010,309,3.0,118.33,57.0,39.99,5,4,2.958989747436859,2012-10-10T00:00:00Z,3.2273972602739724,1.3995308669278677
381,3182,City,Airport,2010,703,5.0,271.58,163.95,99.99,5,2,2.7160716071607163,2012-12-07T00:00:00Z,3.0684931506849313,1.3848997682304953
382,3183,Friends,Stephanie’s Cool Convertible,2012,130,1.0,39.26,15.13,14.99,3,4,2.619079386257505,2013-11-05T00:00:00Z,2.1561643835616437,1.5629018945919988
383,3184,Friends,Adventure Camper,2012,309,2.0,55.58,32.6,34.99,3,4,1.5884538439554157,2013-11-05T00:00:00Z,2.1561643835616437,1.2393937808096944
384,3185,Friends,Summer Riding Camp,2012,1112,4.0,172.63,94.53,99.99,3,2,1.7264726472647265,2014-10-02T00:00:00Z,1.2493150684931507,
385,3186,Friends,Emma’s Horse Trailer,2012,233,1.0,45.58,25.07,24.99,3,4,1.8239295718287316,2014-06-13T00:00:00Z,1.5534246575342465,
